"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL" 
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2007-12-03,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",4.8,NA,2008-01-07,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",NA,NA,2008-01-07,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2008-01-07,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2008-01-07,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",6.9,NA,2008-01-07,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2008-01-07,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2008-01-07,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2008-01-07,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",8.9,NA,2008-01-07,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.8,NA,2008-01-07,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.1,NA,2008-01-07,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2008-01-07,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",0,NA,2008-01-07,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",9.4,NA,2008-01-07,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",4,NA,2008-01-07,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",NA,NA,2008-01-07,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2008-01-07,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",8.8,NA,2008-01-07,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2008-01-07,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",NA,NA,2008-01-07,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2008-01-07,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",7.8,NA,2008-01-07,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",6.5,NA,2008-01-07,NA
"R25","verde river at beeline highway","verde","verde @ beeline",5.5,NA,2008-01-07,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,2008-01-07,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,NA,2008-01-07,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2008-01-07,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",NA,NA,2008-01-07,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",NA,NA,2008-01-07,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.7,NA,2008-01-07,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.6,NA,2008-01-07,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",4.1,NA,2008-01-07,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",8.8,NA,2008-01-07,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",6.8,NA,2008-01-07,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2.7,NA,2008-01-07,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2008-01-07,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2008-01-07,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",7.6,NA,2008-02-04,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",0,NA,2008-02-04,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2008-02-04,NA
"Havasu 2","Havasu lake Sample",NA,"Havasu 2",NA,NA,2008-02-04,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",8.9,NA,2008-02-04,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",8.5,NA,2008-02-04,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2008-02-04,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2008-02-04,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",8.4,NA,2008-02-04,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.2,NA,2008-02-04,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2008-02-04,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",8.3,NA,2008-02-04,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",8.1,NA,2008-02-04,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",8.3,NA,2008-02-04,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2008-02-04,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",7.7,NA,2008-02-04,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2008-02-04,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",9.2,NA,2008-02-04,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2008-02-04,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",NA,NA,2008-02-04,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2008-02-04,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",8.6,NA,2008-02-04,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",8.4,NA,2008-02-04,NA
"R25","verde river at beeline highway","verde","verde @ beeline",8.3,NA,2008-02-04,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.8,NA,2008-02-04,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.8,NA,2008-02-04,NA
"R3","Waddell Canal","cap","waddell canal",0,NA,2008-02-04,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",9.7,NA,2008-02-04,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9.6,NA,2008-02-04,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.8,NA,2008-02-04,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.8,NA,2008-02-04,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.4,NA,2008-02-04,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",8.9,NA,2008-02-04,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",7.4,NA,2008-02-04,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2008-02-04,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",0,NA,2008-02-04,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2008-02-04,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",7.5,NA,2008-03-03,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",0,NA,2008-03-03,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.5,NA,2008-03-03,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",7.2,NA,2008-03-03,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",7.3,NA,2008-03-03,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2008-03-03,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2008-03-03,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",7.2,NA,2008-03-03,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.8,NA,2008-03-03,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.8,NA,2008-03-03,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",7.7,NA,2008-03-03,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",7.4,NA,2008-03-03,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",7.6,NA,2008-03-03,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2008-03-03,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",7.2,NA,2008-03-03,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2008-03-03,"1"
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",7.6,NA,2008-03-03,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2008-03-03,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",NA,NA,2008-03-03,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",10.3,NA,2008-03-03,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",7.7,NA,2008-03-03,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",7.5,NA,2008-03-03,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.7,NA,2008-03-03,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,2008-03-03,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,NA,2008-03-03,NA
"R3","Waddell Canal","cap","waddell canal",2.7,NA,2008-03-03,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",8.4,NA,2008-03-03,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",7.2,NA,2008-03-03,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.8,NA,2008-03-03,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.9,NA,2008-03-03,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.9,NA,2008-03-03,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",6.7,NA,2008-03-03,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",8,NA,2008-03-03,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",0,NA,2008-03-03,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2,NA,2008-03-03,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2008-03-03,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",4,NA,2008-04-07,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",0.9,NA,2008-04-07,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0.9,NA,2008-04-07,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",3.2,NA,2008-04-07,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",3.9,NA,2008-04-07,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2008-04-07,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2008-04-07,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2.8,NA,2008-04-07,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.2,NA,2008-04-07,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",1.2,NA,2008-04-07,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3,NA,2008-04-07,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2.9,NA,2008-04-07,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.1,NA,2008-04-07,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.2,NA,2008-04-07,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",3.6,NA,2008-04-07,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.2,NA,2008-04-07,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",3.2,NA,2008-04-07,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0,NA,2008-04-07,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",0.5,NA,2008-04-07,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",15,NA,2008-04-07,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",0.9,NA,2008-04-07,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.2,NA,2008-04-07,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.2,NA,2008-04-07,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.3,NA,2008-04-07,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",1.8,NA,2008-04-07,NA
"R3","Waddell Canal","cap","waddell canal",0.9,NA,2008-04-07,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.1,NA,2008-04-07,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.4,NA,2008-04-07,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.3,NA,2008-04-07,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.1,NA,2008-04-07,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2.5,NA,2008-04-07,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",3.8,NA,2008-04-07,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",4.9,NA,2008-04-07,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",1.4,NA,2008-04-07,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.2,NA,2008-04-07,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2008-04-07,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",4.7,NA,2008-05-05,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.5,NA,2008-05-05,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",0.8,NA,2008-05-05,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.1,NA,2008-05-05,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.2,NA,2008-05-05,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.1,NA,2008-05-05,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0.6,NA,2008-05-05,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.5,NA,2008-05-05,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",NA,NA,2008-05-05,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2008-05-05,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2008-05-05,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",NA,NA,2008-05-05,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",NA,NA,2008-05-05,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2008-05-05,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.4,NA,2008-05-05,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.1,NA,2008-05-05,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5,NA,2008-05-05,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.8,NA,2008-05-05,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",0.8,NA,2008-05-05,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",13,NA,2008-05-05,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.2,NA,2008-05-05,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",3.5,NA,2008-05-05,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.6,NA,2008-05-05,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",1.8,NA,2008-05-05,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",1.9,NA,2008-05-05,NA
"R3","Waddell Canal","cap","waddell canal",NA,NA,2008-05-05,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.9,NA,2008-05-05,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.3,NA,2008-05-05,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.4,NA,2008-05-05,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.1,NA,2008-05-05,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2.7,NA,2008-05-05,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.5,NA,2008-05-05,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5,NA,2008-05-05,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",2.2,NA,2008-05-05,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.3,NA,2008-05-05,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0.4,NA,2008-05-05,NA
"Green In","Greenway WTP Inlet","srp","Green In",5.2,NA,2008-06-02,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",1.8,NA,2008-06-02,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",1.3,NA,2008-06-02,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5,NA,2008-06-02,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5,NA,2008-06-02,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",5.9,NA,2008-06-02,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.5,NA,2008-06-02,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.4,NA,2008-06-02,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.3,NA,2008-06-02,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",1.6,NA,2008-06-02,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5,NA,2008-06-02,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",5,NA,2008-06-02,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.7,NA,2008-06-02,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.6,NA,2008-06-02,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.7,NA,2008-06-02,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0,NA,2008-06-02,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.7,NA,2008-06-02,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.8,NA,2008-06-02,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",1.1,NA,2008-06-02,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2008-06-02,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.2,NA,2008-06-02,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",3.5,NA,2008-06-02,NA
"R25","verde river at beeline highway","verde","verde @ beeline",5.2,NA,2008-06-02,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.2,NA,2008-06-02,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.6,NA,2008-06-02,NA
"R3","Waddell Canal","cap","waddell canal",1.6,NA,2008-06-02,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",5.2,NA,2008-06-02,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",7.1,NA,2008-06-02,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2.8,NA,2008-06-02,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3,NA,2008-06-02,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.3,NA,2008-06-02,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.5,NA,2008-06-02,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.4,NA,2008-06-02,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",1.8,NA,2008-06-02,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.1,NA,2008-06-02,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2008-06-02,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",0,NA,2008-07-07,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.8,NA,2008-07-07,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2008-07-07,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.1,NA,2008-07-07,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.1,NA,2008-07-07,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",0,NA,2008-07-07,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",0.4,NA,2008-07-07,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.7,NA,2008-07-07,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.5,NA,2008-07-07,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2,NA,2008-07-07,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",4.7,NA,2008-07-07,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.7,NA,2008-07-07,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.4,NA,2008-07-07,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.8,NA,2008-07-07,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5,NA,2008-07-07,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.8,NA,2008-07-07,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.6,NA,2008-07-07,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",1.2,NA,2008-07-07,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",1.2,NA,2008-07-07,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2008-07-07,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.1,NA,2008-07-07,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",1.7,NA,2008-07-07,NA
"R25","verde river at beeline highway","verde","verde @ beeline",20.1,NA,2008-07-07,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.4,NA,2008-07-07,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.6,NA,2008-07-07,NA
"R3","Waddell Canal","cap","waddell canal",NA,NA,2008-07-07,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",8.1,NA,2008-07-07,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.9,NA,2008-07-07,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.9,NA,2008-07-07,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.5,NA,2008-07-07,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.4,NA,2008-07-07,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.5,NA,2008-07-07,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.7,NA,2008-07-07,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",1.7,NA,2008-07-07,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.4,NA,2008-07-07,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0.2,NA,2008-07-07,NA
"Glen In","Glendale WTP Inlet","srp","Glen In",4.8,NA,2008-08-04,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.6,NA,2008-08-04,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2008-08-04,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",12.7,NA,2008-08-04,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.8,NA,2008-08-04,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.4,NA,2008-08-04,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2,NA,2008-08-04,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",4.7,NA,2008-08-04,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",4.3,NA,2008-08-04,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2.5,NA,2008-08-04,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.3,NA,2008-08-04,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.5,NA,2008-08-04,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5,NA,2008-08-04,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.4,NA,2008-08-04,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.8,NA,2008-08-04,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.9,NA,2008-08-04,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.9,NA,2008-08-04,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.9,NA,2008-08-04,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",1.1,NA,2008-08-04,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2008-08-04,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5,NA,2008-08-04,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.7,NA,2008-08-04,NA
"R25","verde river at beeline highway","verde","verde @ beeline",9.1,NA,2008-08-04,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",NA,NA,2008-08-04,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",NA,NA,2008-08-04,NA
"R3","Waddell Canal","cap","waddell canal",NA,NA,2008-08-04,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",8.2,NA,2008-08-04,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",8.1,NA,2008-08-04,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",4.3,NA,2008-08-04,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.2,NA,2008-08-04,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.8,NA,2008-08-04,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.1,NA,2008-08-04,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","STP In",5.2,NA,2008-08-04,NA
"SPT Out","Tempe's South Plant treated water","tempe","STP Out",5.2,NA,2008-08-04,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2.5,NA,2008-08-04,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0.1,NA,2008-08-04,NA
"Glen In","Glen In","srp","Glen In",6.7,NA,2008-09-02,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2.9,NA,2008-09-02,NA
