"site number","site location","cluster","site acronym","date","e_coli","coliform","mycobacterium","mycobacterium_flag","Comments"
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-10-02,33,888,2,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-10-02,21,2536,3,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-10-02,27,1168,6,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-10-02,30,1088,18,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-10-02,7,1528,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-10-02,30,1016,17,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-11-06,129,1184,71,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-11-06,158,1040,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-11-06,142,1272,136,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-11-06,40,1072,97,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-11-06,95,976,130,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-11-06,5,1120,46,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-11-06,20,1736,2,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-11-06,108,904,NA,"CONT",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-11-06,43,1200,107,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-11-06,34,1104,0,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-11-06,88,1088,0,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-11-06,5,1480,87,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-11-06,195,896,41,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2017-12-04,36,160,50,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2017-12-04,38,240,9,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2017-12-04,56,1400,61,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2017-12-04,9,608,8,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2017-12-04,13,824,21,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2017-12-04,105,824,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2017-12-04,73,760,23,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2017-12-04,90,480,14,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2017-12-04,39,568,9,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2017-12-04,28,496,33,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2017-12-04,57,824,259,NA,NA
"R3","Waddell Canal","cap","waddell canal",2017-12-04,6,1200,13,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2017-12-04,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-01-08,29,568,89,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-01-08,34,464,71,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-01-08,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-01-08,31,456,36,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-01-08,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-01-08,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-01-08,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-01-08,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-01-08,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-01-08,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-01-08,13,456,82,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-01-08,1,272,1,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-01-08,30,488,92,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-02-05,45,384,7,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-02-05,41,416,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-02-05,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-02-05,43,920,2,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-02-05,NA,NA,13,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-02-05,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-02-05,140,488,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-02-05,95,408,6,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-02-05,103,464,0,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-02-05,509,296,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-02-05,46,41,5,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-02-05,0,640,1,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-02-05,59,456,14,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-03-05,23,728,17,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-03-05,15,584,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-03-05,20,576,18,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-03-05,11,808,31,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-03-05,4,520,2,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-03-05,1,944,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-03-05,4,840,1,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-03-05,14,840,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-03-05,6,728,21,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-03-05,3,560,19,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-03-05,35,696,23,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-03-05,0,664,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-03-05,20,624,45,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-04-02,19,872,3,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-04-02,23,856,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-04-02,31,1032,3,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-04-02,16,992,0,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-04-02,2,760,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-04-02,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-04-02,26,600,6,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-04-02,24,984,2,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-04-02,14,552,5,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-04-02,10,744,2,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-04-02,12,352,8,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-04-02,5,464,3,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-04-02,16,976,4,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-05-07,21,640,3,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-05-07,48,648,0,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-05-07,14,1264,2,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-05-07,17,616,3,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-05-07,10,824,7,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-05-07,43,448,1,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-05-07,31,896,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-05-07,20,1424,1,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-05-07,16,512,1,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-05-07,42,512,11,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-05-07,5,808,56,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-05-07,10,408,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-05-07,13,1184,0,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-06-04,5,872,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-06-04,9,848,2,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-06-04,16,1808,3,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-06-04,4,832,2,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-06-04,14,NA,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-06-04,24,336,3,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-06-04,10,1792,2,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-06-04,17,1392,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-06-04,23,624,9,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-06-04,54,1016,3,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-06-04,23,1408,19,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-06-04,0,392,4,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-06-04,7,1080,3,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-07-02,32,880,22,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-07-02,194,864,7,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-07-02,28,1000,13,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-07-02,10,432,6,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-07-02,0,1000,34,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-07-02,11,776,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-07-02,20,648,7,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-07-02,17,1040,23,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-07-02,36,960,3,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-07-02,18,1016,18,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-07-02,91,472,40,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-07-02,0,896,18,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-07-02,27,736,267,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-08-21,63,608,NA,"CONT",NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-08-21,55,736,NA,"CONT",NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-08-21,24,760,NA,"CONT","Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-08-21,119,312,NA,"CONT",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-08-21,13,1096,NA,"CONT",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-08-21,27,344,NA,"CONT",NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-08-21,11,472,NA,"CONT",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-08-21,18,488,NA,"CONT",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-08-21,55,1008,NA,"CONT",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-08-21,35,976,NA,"CONT",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-08-21,67,544,NA,"CONT",NA
"R3","Waddell Canal","cap","waddell canal",2018-08-21,0,144,NA,"CONT",NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-08-21,43,1056,NA,"CONT",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-09-25,34,1216,5,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-09-25,37,1128,6,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-09-25,26,1264,3,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-09-25,8,1192,6,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-09-25,14,1768,3,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-09-25,8,896,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-09-25,34,992,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-09-25,23,960,2,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-09-25,13,1152,2,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-09-25,31,1080,4,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-09-25,48,832,15,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-09-25,6,776,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-09-25,56,1056,4,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-10-22,100,416,35,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-10-22,86,432,75,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-10-22,29,472,2,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-10-22,27,648,28,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-10-22,10,624,13,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-10-22,43,360,2,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-10-22,40,432,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-10-22,29,288,1,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-10-22,56,520,20,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-10-22,21,488,17,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-10-22,75,736,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-10-22,4,616,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-10-22,57,752,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-11-21,NA,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-11-21,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-11-21,19,616,5,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-11-21,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-11-21,13,640,4,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-11-21,26,920,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-11-21,33,1112,0,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-11-21,24,944,1,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-11-21,20,688,6,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-11-21,6,744,1,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-11-21,16,648,8,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-11-21,8,840,1,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-11-21,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2018-12-05,NA,NA,1,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2018-12-05,NA,NA,37,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2018-12-05,6,640,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2018-12-05,NA,NA,14,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2018-12-05,2,360,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2018-12-05,21,1096,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2018-12-05,22,984,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2018-12-05,11,1152,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2018-12-05,23,496,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2018-12-05,20,712,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2018-12-05,51,800,18,NA,NA
"R3","Waddell Canal","cap","waddell canal",2018-12-05,2,1176,8,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2018-12-05,NA,NA,32,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-01-22,152,196,5,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-01-22,136,406,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-01-22,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-01-22,NA,NA,42,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-01-22,NA,NA,80,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-01-22,NA,NA,25,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-01-22,NA,NA,56,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-01-22,NA,NA,96,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-01-22,212,1008,49,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-01-22,132,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-01-22,168,124,408,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-01-22,10,720,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-01-22,32,364,114,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-02-25,52,186,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-02-25,40,144,32,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-02-25,64,284,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-02-25,44,376,136,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-02-25,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-02-25,6,196,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-02-25,11,296,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-02-25,48,258,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-02-25,80,350,104,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-02-25,56,104,144,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-02-25,72,808,76,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-02-25,132,172,5,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-02-25,88,309,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-03-25,152,196,22,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-03-25,136,406,15,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-03-25,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-03-25,NA,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-03-25,NA,NA,43,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-03-25,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-03-25,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-03-25,NA,NA,84,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-03-25,212,NA,42,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-03-25,132,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-03-25,168,124,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-03-25,10,720,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-03-25,32,364,94,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-04-15,46,89,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-04-15,NA,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-04-15,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-04-15,NA,56,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-04-15,101,169,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-04-15,84,174,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-04-15,153,285,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-04-15,96,184,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-04-15,123,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-04-15,124,413,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-04-15,185,112,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-04-15,NA,72,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-04-15,NA,249,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-05-07,31,986,35,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-05-07,25,971,54,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-05-07,37,NA,43,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-05-07,26,1093,84,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-05-07,25,NA,13,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-05-07,16,863,32,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-05-07,NA,NA,41,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-05-07,NA,458,69,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-05-07,28,1184,14,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-05-07,20,859,42,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-05-07,19,972,22,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-05-07,NA,562,NA,"TFTC",NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-05-07,24,629,18,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-06-13,46,NA,35,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-06-13,19,NA,48,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-06-13,26,613,NA,"TFTC","Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-06-13,25,847,21,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-06-13,16,836,13,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-06-13,29,1001,NA,"TFTC",NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-06-13,23,967,NA,"TFTC",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-06-13,20,753,69,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-06-13,23,714,14,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-06-13,NA,1142,NA,"TFTC",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-06-13,19,972,86,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-06-13,NA,472,NA,"TFTC",NA
