"site number","site location","cluster","site acronym","date","geosmin (ng/L)","Conductance (us/cm)","TP (ug/L)","DOC (mg/L)","UVA (cm-1)","Suva(L/mg-m)","TDN (mg/L)","MIB (ng/L)"
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2019-11-26,NA,NA,NA,NA,NA,NA,NA,NA
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2019-11-26,NA,NA,NA,NA,NA,NA,NA,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2019-11-26,-1.54746653513224,1241,196,6.468,0.202,3.12306740878169,1.167,-1.27539284465762
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2019-11-26,-1.71405508796145,1311,-0.006,6.601,0.205,3.1055900621118,1.283,-1.27539284465762
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2019-11-26,-1.61091518729168,1116,-0.004,6.471,0.201,3.10616597125637,1.131,-1.27539284465762
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2019-11-26,-1.35712057865391,1124,-0.006,6.526,0.202,3.09531106343855,0.4586,-1.27539284465762
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2019-11-26,-1.51690959871458,1345,21,4.472,0.109,2.43738819320215,0.4424,2.02654734972075
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2019-11-26,-0.836259984167503,1331,38,4.663,0.119,2.55200514690114,0.5659,18.9903384184024
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2019-11-26,-2.06767175296626,1357,20,4.515,0.107,2.36987818383167,0.2862,1.6669659900567
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2019-11-26,-1.66125630640333,1370,12,4.586,0.111,2.42040994330571,0.3788,1.89756994487058
"APA1A","Apache Lake, upper","srp","Apache, eppi, upper",2020-02-25,NA,1746,46,7.6,0.305,4,1.433,NA
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",2020-02-25,NA,1734,43,4.6,0.117,2.5,0.445,NA
"APA2A","Apache Lake, lower","srp","Apache, eppi, lower",2020-02-25,NA,1729,49,4.5,0.122,2.7,0.57,NA
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",2020-02-25,NA,1752,42,2.5,0.085,3.5,0.158,NA
"Can1A","Canyon Lake, upper","srp","Canyon, eppi, upper",2020-02-25,NA,1322,165,4.4,0.115,2.6,0.46,NA
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",2020-02-25,NA,1099,186,6.5,0.223,3.4,1.403,NA
"Can2A","Canyon Lake, lower","srp","Canyon, eppi, lower",2020-02-25,NA,895,246,5,0.118,2.3,0.467,NA
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",2020-02-25,NA,1299,154,6.5,0.214,3.3,1.3,NA
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, eppi, upper",2020-02-25,NA,1346,19,4.6,0.126,2.7,0.437,NA
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",2020-02-25,NA,1392,23,4.6,0.125,2.7,0.411,NA
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, eppi, lower",2020-02-25,NA,1354,26,4.3,0.114,2.6,0.439,NA
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",2020-02-25,NA,1355,21,5.6,0.143,2.6,0.888,NA
